City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
86,newman,37.3138,-121.0208,11.27,79,98,1.36,US,1706631586
87,olonkinbyen,70.9221,-8.7187,-4.48,82,99,8.43,SJ,1706631556
88,preobrazheniye,42.9019,133.9064,-4.62,70,96,2.87,RU,1706631702
89,glace bay,46.1969,-59.957,-4.5,66,40,8.75,CA,1706631702
90,jamestown,42.097,-79.2353,2.77,91,100,6.69,US,1706631702
91,qaqortoq,60.7167,-46.0333,-21.11,75,0,2.33,GL,1706631703
92,remire-montjoly,4.9167,-52.2667,29.02,79,75,5.66,GF,1706631545
93,taoudenni,22.6783,-3.9836,28.4,7,0,4.16,ML,1706631703
94,albany,42.6001,-73.9662,0.02,85,88,0.45,US,1706631703
95,krasnokholm,51.5979,54.1567,-4.19,97,100,3.38,RU,1706631703
96,sitka,57.0531,-135.33,4.94,81,100,5.66,US,1706631703
97,bikaner,28.0167,73.3,18.46,33,100,1.14,IN,1706631704
98,shenkursk,62.1091,42.896,-0.6,85,18,3.92,RU,1706631615
99,ixtapa,20.7,-105.2,24.57,83,75,1.54,MX,1706631704
100,freetown,8.484,-13.2299,30.84,48,73,5.14,SL,1706631704
101,tolanaro,-25.0319,46.9987,24.33,74,88,4.79,MG,1706631557
102,iqaluit,63.7506,-68.5145,-19.06,70,75,4.12,CA,1706631561
103,anadyr,64.75,177.4833,-29.72,76,75,2.0,RU,1706631704
104,fuerte olimpo,-21.0415,-57.8738,37.4,32,64,0.1,PY,1706631705
105,rio grande,-32.035,-52.0986,28.06,56,0,5.52,BR,1706631705
106,ploneour-lanvern,47.9,-4.2833,10.16,71,0,2.06,FR,1706631705
107,najaf,31.9985,44.3398,14.88,38,75,0.0,IQ,1706631675
108,hamilton,39.1834,-84.5333,2.1,88,100,4.63,US,1706631678
109,mount isa,-20.7333,139.5,24.87,94,75,4.12,AU,1706631705
110,lapai,9.05,6.5667,38.56,11,57,0.48,NG,1706631706
111,sumbawanga,-7.9667,31.6167,16.45,94,97,1.65,TZ,1706631706
112,cidreira,-30.1811,-50.2056,26.19,64,16,5.39,BR,1706631706
113,la'ie,21.6477,-157.9253,22.98,96,7,3.12,US,1706631570
114,east london,-33.0153,27.9116,24.52,78,100,5.66,ZA,1706631706
115,obo,5.3998,26.4869,30.7,22,100,1.96,CF,1706631706
116,sumbe,-11.2061,13.8437,28.72,75,45,3.28,AO,1706631706
117,nemuro,43.3236,145.575,-1.46,65,85,7.55,JP,1706631707
118,calama,-22.4667,-68.9333,25.27,25,0,8.75,CL,1706631707
119,hawaiian paradise park,19.5933,-154.9731,20.73,77,0,2.06,US,1706631707
120,la sarre,48.8002,-79.1996,-1.5,93,100,4.2,CA,1706631587
121,sao tome,0.3365,6.7273,28.02,83,75,2.06,ST,1706631707
122,edinburgh of the seven seas,-37.0676,-12.3116,14.88,61,31,7.45,SH,1706631707
123,ancud,-41.8697,-73.8203,16.93,62,0,3.52,CL,1706631629
124,weno,7.4515,151.8468,26.97,78,100,3.6,FM,1706631708
125,yangshuo,24.7808,110.4897,13.52,96,93,0.65,CN,1706631708
126,hadibu,12.65,54.0333,25.35,74,82,4.37,YE,1706631708
127,orda,57.1951,56.9091,-5.77,94,100,5.9,RU,1706631708
128,nar'yan-mar,67.6713,53.087,-2.72,93,99,6.71,RU,1706631708
129,holualoa,19.6228,-155.9522,21.91,82,100,3.6,US,1706631585
130,qamdo,31.1667,97.2333,-8.73,40,36,2.89,CN,1706631709
131,port lincoln,-34.7333,135.8667,16.0,75,3,6.07,AU,1706631709
132,kyren,51.6828,102.1408,-23.36,87,21,0.45,RU,1706631709
133,uturoa,-16.7333,-151.4333,28.29,75,99,2.73,PF,1706631709
134,marica,-22.9194,-42.8186,36.38,71,5,3.75,BR,1706631709
135,fale old settlement,-9.3852,-171.2468,29.33,74,75,3.23,TK,1706631430
136,tlahualilo de zaragoza,26.1167,-103.45,16.34,38,76,0.82,MX,1706631709
137,titusville,28.6122,-80.8075,19.06,54,40,3.09,US,1706631709
138,geraldton,-28.7667,114.6,23.23,68,2,4.63,AU,1706631710
139,znojmo,48.8555,16.0488,3.89,80,31,3.24,CZ,1706631710
140,martapura,-3.4167,114.85,26.05,100,100,0.51,ID,1706631710
141,kodiak,57.79,-152.4072,-16.27,60,0,1.54,US,1706631419
142,las lomitas,-24.7096,-60.593,41.41,17,0,1.81,AR,1706631710
143,glendora,34.1361,-117.8653,20.18,48,0,0.0,US,1706631427
144,abeche,13.8292,20.8324,29.59,10,0,3.28,TD,1706631711
145,touros,-5.1989,-35.4608,31.18,60,15,6.98,BR,1706631711
146,bardai,11.65,7.2333,30.13,13,8,5.52,NG,1706631711
147,port shepstone,-30.7414,30.455,25.6,82,47,2.98,ZA,1706631711
148,margaret river,-33.95,115.0667,15.72,87,0,4.73,AU,1706631711
149,isiro,2.7739,27.616,28.63,33,86,1.17,CD,1706631711
150,fedorovka,53.6314,62.7078,-16.57,97,22,3.38,KZ,1706631711
151,kukes,42.0769,20.4219,2.35,69,1,2.57,AL,1706631712
152,midvagur,62.0511,-7.1939,7.46,87,100,5.14,FO,1706631712
153,north bend,43.4065,-124.2243,12.7,100,100,3.6,US,1706631712
154,cabo san lucas,22.8909,-109.9124,28.17,41,40,9.77,MX,1706631224
155,esmeraldas,-19.7625,-44.3139,30.58,54,20,2.4,BR,1706631712
156,san andres,12.5847,-81.7006,30.01,58,20,5.14,CO,1706631712
157,palu,-0.8917,119.8707,24.93,96,91,0.67,ID,1706631712
158,camocim,-2.9022,-40.8411,33.02,52,10,6.85,BR,1706631490
159,sao vicente,-23.9631,-46.3919,36.1,49,20,3.09,BR,1706631713
160,fortuna,40.5982,-124.1573,15.51,51,100,4.63,US,1706631713
161,virginia,37.5481,-77.4467,8.56,63,75,3.09,US,1706631713
